,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
23161,64086,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"occupations in social science, government service and religion",,0,0,0,working,wages and salaries,0,1,29.0,,41.80558659217878,2086.0,,37.0,1,49.0,1997,1424.2469,69675.97765363129,1000.0,100.0
23162,64092,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"trades helpers, construction, and transportation labourers","business, building and other support services",0,0,0,working,wages and salaries,1,2,8.0,,6.810826815642459,1669.0,,24.0,0,28.0,1997,559.7689,47031.28491620112,100.0,100.0
23163,64095,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,1,0,working,wages and salaries,0,1,37.0,,39.80240223463688,2086.0,,136.0,0,53.0,1997,732.1555,152416.20111731844,1000.0,1000.0
23164,64096,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,employed all year,"financial, secretarial and administrative","finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,20.0,,20.746022346368715,1955.0,,35.0,1,46.0,1997,732.1555,41805.58659217877,1000.0,1.0
23165,64099,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,manufacturing,0,1,0,working,wages and salaries,0,1,19.0,,33.44446927374302,2086.0,,228.0,0,36.0,1997,1223.2529,32225.13966480447,1000.0,100.0
23166,64100,,0,0,0,0,0,0,0,1,0,1,1,0,employed all year,natural and applied sciences,public administration,0,0,0,working,wages and salaries,0,1,19.0,,53.51115083798882,1955.0,,223.0,0,36.0,1997,157.3845,117578.2122905028,1000.0,20.0
23167,64101,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,2,6.0,,10.677843575418995,1564.0,,8.0,1,27.0,1997,264.5639,23515.64245810056,100.0,1.0
23168,64106,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,manufacturing,0,0,0,working,wages and salaries,0,1,6.0,,13.499720670391063,2086.0,,21.0,1,23.0,1997,444.212,22644.692737430167,1000.0,1.0
23169,64111,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,1,1,working,wages and salaries,0,1,4.0,FT under 30hrs/wk,23.51564245810056,1147.0,,69.0,1,32.0,1997,129.4489,21773.743016759778,20.0,20.0
23170,64113,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,"trades helpers, construction, and transportation labourers",utilities,0,1,0,working,wages and salaries,0,1,12.0,,39.01854748603352,2086.0,,134.0,0,38.0,1997,536.1986,80127.37430167598,1000.0,20.0
23171,64114,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,1,2,1.0,,26.82525139664805,1564.0,,64.0,1,46.0,1997,92.188,29612.290502793297,1000.0,20.0
23172,64116,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,public administration,0,0,0,working,wages and salaries,0,1,1.0,,19.33508379888268,1564.0,,20.0,1,19.0,1997,1559.779,30483.240223463687,1000.0,20.0
23173,64117,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,18.0,,30.10002234636872,2086.0,,47.0,0,34.0,1997,502.8434,60966.48044692737,1000.0,20.0
23174,64119,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,"employed, unemployed and not in labour force during year",transport and equipment operators,transportation and warehousing,0,0,0,working,wages and salaries,0,3,5.0,,22.64469273743017,795.0,,17.0,0,26.0,1997,223.4184,38321.78770949721,20.0,20.0
23175,64120,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","forestry, fishing, mining, oil and gas",0,0,0,working,wages and salaries,0,1,3.0,,29.612290502793297,2086.0,,36.0,1,38.0,1997,203.5352,62708.37988826816,1.0,1.0
23176,64121,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, not in labour force part-year",clerical and supervisor occupations,manufacturing,0,0,1,working,wages and salaries,0,1,0.0,school,13.935195530726258,141.0,4.0,2.0,1,22.0,1997,1914.3361,2699.9441340782123,1.0,1.0
23787,65745,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,accommodation and food services,0,0,0,working,wages and salaries,0,2,17.0,,20.90279329608939,1070.0,,49.0,1,34.0,1997,208.3352,25257.54189944134,1.0,1.0
23788,65753,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,0,0,working,wages and salaries,0,1,37.0,,30.48324022346369,2086.0,,134.0,0,58.0,1997,469.6066,59224.5810055866,500.0,500.0
23789,65759,,0,0,0,0,0,0,0,0,0,1,0,1,employed all year,professional in business and finance,construction,0,0,0,working,wages and salaries,0,1,14.0,,38.46113966480447,2086.0,,160.0,1,36.0,1997,623.5168,81869.27374301676,20.0,1.0
